EventType,TrafficMultiplier,ABTestGroup,SaleAmountEUR,BranchID
Normal,1,Variation2,1074.601097,BR-001
BlackFriday,3.4,Control,1812.077738,BR-001
Christmas,3.9,Control,1846.467001,BR-001
Christmas,2.2,Control,623.6678015,BR-001
Christmas,1.1,Variation1,789.0089136,BR-001
BlackFriday,3.9,Control,525.9699626,BR-001
BlackFriday,1,Control,1268.942557,BR-001
BlackFriday,2.5,Variation2,1337.135425,BR-001
BlackFriday,2,Control,83.39794595,BR-001
Normal,1,Variation1,1009.155394,BR-001
Valentine,3.3,Control,2101.055351,BR-001
Normal,1,Variation2,1052.315844,BR-001
Christmas,4.7,Control,2760.49111,BR-001
Normal,1,Control,1262.765579,BR-001
Normal,1,Variation2,1053.562948,BR-001
Christmas,1,Variation1,1687.684167,BR-001
Normal,1,Control,1657.761907,BR-001
BlackFriday,4.4,Control,1272.302798,BR-001
Christmas,2.9,Control,1725.864631,BR-001
Valentine,2.8,Variation1,1802.875791,BR-001
Christmas,3.3,Control,977.5674587,BR-001
Valentine,2,Control,1408.46362,BR-001
Normal,1,Variation2,996.3224768,BR-001
Normal,1,Variation2,677.6163773,BR-001
Valentine,3.8,Control,1431.493605,BR-001
Normal,1,Control,1373.502422,BR-001
BlackFriday,4.9,Variation1,1523.738753,BR-001
Valentine,2.4,Control,1216.662603,BR-001
BlackFriday,4.3,Control,1755.747305,BR-001
BlackFriday,4.3,Control,2379.811133,BR-001
Christmas,5,Variation2,2595.803404,BR-001
Christmas,4.3,Variation1,1248.698724,BR-001
BlackFriday,1.5,Variation1,1542.361454,BR-001
BlackFriday,4.2,Control,1267.374174,BR-001
Christmas,3.1,Variation1,25.89011342,BR-001
Valentine,3.9,Control,717.7528485,BR-001
Valentine,3.1,Control,1280.34329,BR-001
Christmas,3,Variation2,587.200288,BR-001
Christmas,4.8,Variation2,1492.507436,BR-001
Valentine,3.5,Variation1,212.259165,BR-001
Valentine,2.7,Control,1841.042822,BR-001
BlackFriday,2.4,Variation1,971.1911513,BR-001
Christmas,1.2,Variation1,1739.945288,BR-001
Valentine,1.9,Control,1775.9044,BR-001
BlackFriday,4.9,Variation2,1390.182269,BR-001
BlackFriday,2.8,Control,3029.262285,BR-001
BlackFriday,3.6,Variation1,94.6563272,BR-001
Normal,1,Variation2,937.4572619,BR-001
Christmas,2.9,Control,-1377.81815,BR-001
Normal,1,Control,142.639131,BR-001
BlackFriday,1.2,Variation1,1497.573598,BR-001
Valentine,2.8,Control,495.874788,BR-001
Valentine,3.9,Variation1,613.1547478,BR-001
Valentine,4.1,Control,1951.61164,BR-001
BlackFriday,2.4,Control,802.5433382,BR-001
Christmas,2.2,Control,947.7079134,BR-001
Valentine,2.4,Control,2242.894028,BR-001
BlackFriday,2.4,Variation2,-2323.514943,BR-001
Christmas,4.7,Variation2,2589.381677,BR-001
BlackFriday,1.4,Control,376.1874724,BR-001
Christmas,4,Control,1871.188533,BR-001
BlackFriday,3.7,Control,1273.721784,BR-001
Valentine,4,Variation2,-2572.488709,BR-001
Valentine,2.9,Control,811.5462906,BR-001
Christmas,1.5,Variation1,440.0490232,BR-001
Normal,1,Control,1950.462073,BR-001
Christmas,2.4,Control,1056.468444,BR-001
Normal,1,Control,886.7449461,BR-001
Christmas,2.6,Control,469.4240857,BR-001
Valentine,2.3,Variation2,1209.40778,BR-001
BlackFriday,1.5,Variation2,1158.986396,BR-001
Christmas,1.7,Control,1874.407009,BR-001
Christmas,2.3,Variation2,645.8399273,BR-001
Valentine,2.2,Control,272.4236323,BR-001
Normal,1,Variation2,2561.270829,BR-001
Valentine,1.6,Variation1,1412.912258,BR-001
Normal,1,Variation2,523.4645611,BR-001
Christmas,2.4,Control,1521.657283,BR-001
BlackFriday,1.6,Control,1185.281921,BR-001
Valentine,3,Control,845.7482463,BR-001
Valentine,2,Variation1,1376.544014,BR-001
Christmas,3.2,Variation2,1833.929799,BR-001
BlackFriday,3.3,Variation1,1894.436254,BR-001
Normal,1,Control,775.2640417,BR-001
BlackFriday,3.4,Control,2481.79605,BR-001
Christmas,4.5,Control,1016.715689,BR-001
Valentine,1.9,Control,258.8400983,BR-001
Normal,1,Control,1178.317432,BR-001
Christmas,4.9,Control,52.70686412,BR-001
Christmas,1.7,Variation2,1349.642474,BR-001
Christmas,4.5,Control,429.5696795,BR-001
Normal,1,Variation1,409.0202993,BR-001
Christmas,2.1,Control,1002.239951,BR-001
Normal,1,Variation1,960.4134032,BR-001
BlackFriday,1.5,Control,808.8692453,BR-001
Valentine,4,Variation1,2291.90434,BR-001
BlackFriday,4.5,Control,2702.496206,BR-001
Christmas,3,Control,1696.929861,BR-001
Normal,1,Control,732.4119409,BR-001
Christmas,3.2,Control,86.26298588,BR-001
Normal,1,Variation1,-913.1220285,BR-001
Normal,1,Variation1,1063.721876,BR-001
Normal,1,Variation2,1333.116513,BR-001
BlackFriday,3.9,Control,1075.409691,BR-001
Christmas,3.9,Control,2239.240439,BR-001
BlackFriday,2,Control,1536.933267,BR-001
Normal,1,Control,-711.4361507,BR-001
Normal,1,Control,777.9640361,BR-001
BlackFriday,1.2,Variation2,898.2599795,BR-001
Christmas,2,Variation2,1015.247572,BR-001
Normal,1,Variation1,1214.741801,BR-001
BlackFriday,3.8,Variation1,1432.5654,BR-001
Christmas,2,Control,1121.345774,BR-001
Normal,1,Control,1873.917159,BR-001
BlackFriday,2.6,Control,1692.350163,BR-001
BlackFriday,1.6,Variation1,1021.585771,BR-001
Valentine,1.3,Variation1,-1553.554595,BR-001
Normal,1,Control,859.0483654,BR-001
Valentine,4.1,Control,1561.052248,BR-001
BlackFriday,2.6,Control,702.7323414,BR-001
Valentine,1.4,Variation2,892.9552052,BR-001
BlackFriday,1.2,Control,1552.599264,BR-001
BlackFriday,2.5,Control,1343.07524,BR-001
Valentine,2.6,Control,1629.591174,BR-001
BlackFriday,4.6,Control,1508.308477,BR-001
Normal,1,Variation2,367.2002362,BR-001
Normal,1,Variation1,1360.757558,BR-001
Christmas,4.8,Control,3518.207936,BR-001
Normal,1,Control,595.7832214,BR-001
Normal,1,Variation1,838.2918106,BR-001
Normal,1,Control,1087.293713,BR-001
Christmas,1.5,Control,440.6510471,BR-001
Valentine,2.9,Variation2,1118.487474,BR-001
Valentine,3.5,Control,2148.69023,BR-001
Valentine,1.9,Control,1136.038137,BR-001
BlackFriday,3.5,Control,1654.953928,BR-001
Christmas,3.2,Control,1714.371247,BR-001
BlackFriday,3,Control,950.1607697,BR-001
Valentine,2.2,Control,1827.500172,BR-001
Christmas,1.8,Variation1,1008.834365,BR-001
Christmas,2.7,Control,940.2091084,BR-001
Valentine,4,Control,2569.181104,BR-001
BlackFriday,1.8,Control,1105.989016,BR-001
Valentine,4.7,Control,1978.170068,BR-001
Christmas,4.6,Control,1272.79637,BR-001
Christmas,4.6,Variation1,1783.693292,BR-001
BlackFriday,1.3,Control,743.8933163,BR-001
Normal,1,Variation1,574.5318208,BR-001
Valentine,1.7,Variation1,1211.937393,BR-001
Valentine,2.8,Control,2079.559934,BR-001
BlackFriday,2.4,Control,1683.800303,BR-001
Christmas,1.9,Variation2,1017.327757,BR-001
Christmas,2,Control,1104.886255,BR-001
BlackFriday,4.2,Control,2277.752167,BR-001
Normal,1,Control,1052.551458,BR-001
Christmas,4.3,Control,2096.239708,BR-001
BlackFriday,3.2,Control,1681.180328,BR-001
Christmas,2.1,Variation1,2429.497652,BR-001
BlackFriday,2.2,Variation1,1473.10492,BR-001
Valentine,2.8,Variation1,1459.224631,BR-001
Normal,1,Control,1262.98609,BR-001
Christmas,3,Control,2445.704114,BR-001
Valentine,1.6,Variation1,163.5068973,BR-001
Christmas,4.3,Control,1515.127884,BR-001
Christmas,4.7,Variation1,430.7762605,BR-001
Valentine,3.4,Variation1,1195.90391,BR-001
BlackFriday,4.5,Control,2182.014446,BR-001
Normal,1,Control,531.8150619,BR-001
Christmas,2.7,Variation1,870.7559969,BR-001
Normal,1,Variation2,1261.459028,BR-001
BlackFriday,3.1,Control,1518.871777,BR-001
Normal,1,Variation1,16.45418181,BR-001
Normal,1,Variation1,1680.061882,BR-001
BlackFriday,1.9,Control,96.95044159,BR-001
Christmas,4.4,Variation2,2114.96021,BR-001
Christmas,4.1,Control,2464.679785,BR-001
Christmas,1.2,Variation1,912.8676121,BR-001
BlackFriday,3.2,Variation1,1137.618403,BR-001
Christmas,3.8,Control,2879.477455,BR-001
BlackFriday,4.6,Control,2468.810754,BR-001
Christmas,1.1,Control,1190.340183,BR-001
BlackFriday,1.1,Control,1233.899452,BR-001
Christmas,1.9,Control,999.5058495,BR-001
Normal,1,Control,344.5802382,BR-001
Normal,1,Control,847.8006714,BR-001
Christmas,1.3,Variation2,1238.092691,BR-001
Normal,1,Variation2,-341.5115382,BR-001
BlackFriday,4.7,Control,1613.335708,BR-001
Valentine,2.7,Control,2489.057009,BR-001
Normal,1,Control,1558.842771,BR-001
Christmas,1.1,Control,1640.12496,BR-001
Valentine,4.8,Variation2,1820.225508,BR-001
BlackFriday,3.4,Variation1,464.0638509,BR-001
Christmas,1.6,Control,823.4432523,BR-001
Valentine,1.5,Variation2,729.2909322,BR-001
Valentine,2.1,Variation1,1717.586167,BR-001
Christmas,2.3,Variation1,999.6475744,BR-001
Valentine,3,Variation1,1169.590174,BR-001
Valentine,2.2,Variation1,1796.251506,BR-001
Christmas,3.1,Control,2029.107716,BR-001
BlackFriday,2.4,Control,2015.399208,BR-001
Valentine,4.4,Control,1857.458062,BR-001
Normal,1,Variation2,1038.33607,BR-001
Christmas,1.9,Control,984.3735749,BR-001
BlackFriday,4.7,Variation2,1219.217419,BR-001
Valentine,4.1,Variation2,2294.101629,BR-001
Valentine,4.1,Variation1,2847.61053,BR-001
Valentine,1.4,Variation2,1546.164622,BR-001
Christmas,1.5,Control,1900.693542,BR-001
Valentine,2.6,Variation1,2204.944848,BR-001
Christmas,1.5,Variation1,972.2284619,BR-001
Normal,1,Control,1181.69892,BR-001
Christmas,3.8,Control,161.6291095,BR-001
Valentine,2.2,Control,1609.668991,BR-001
BlackFriday,2.8,Variation2,392.2374295,BR-001
BlackFriday,3.1,Variation1,763.000586,BR-001
Christmas,4.1,Control,813.9816282,BR-001
Christmas,1.1,Control,861.270433,BR-001
Normal,1,Variation1,531.0811107,BR-001
Christmas,4.2,Variation1,1799.351168,BR-001
BlackFriday,4.7,Variation1,136.369293,BR-001
Christmas,4.7,Control,2203.736331,BR-001
Normal,1,Control,1156.306994,BR-001
Normal,1,Variation2,1879.617923,BR-001
Normal,1,Control,572.7114386,BR-001
Normal,1,Control,1250.699233,BR-001
Normal,1,Variation2,1484.271153,BR-001
Normal,1,Control,-867.0985263,BR-001
BlackFriday,1,Variation1,-995.2348968,BR-001
Normal,1,Control,796.1782968,BR-001
BlackFriday,2,Control,1262.366445,BR-001
Valentine,4.6,Variation1,1324.705848,BR-001
Normal,1,Variation2,527.2185176,BR-001
Christmas,3.6,Control,590.927692,BR-001
Valentine,4.4,Variation1,1291.926099,BR-001
Christmas,1.5,Control,927.4720362,BR-001
Normal,1,Control,924.8648554,BR-001
Christmas,3.3,Control,1377.473601,BR-001
Valentine,2.1,Variation2,87.27388464,BR-001
Valentine,3,Variation1,507.7659525,BR-001
BlackFriday,1.7,Variation1,1032.243442,BR-001
Christmas,1.3,Control,234.8947411,BR-001
Normal,1,Control,452.2528456,BR-001
BlackFriday,5,Control,1995.362078,BR-001
BlackFriday,2.6,Control,1319.961031,BR-001
BlackFriday,2.2,Control,1136.275997,BR-001
Normal,1,Control,251.5930571,BR-001
BlackFriday,1.4,Variation2,792.5175882,BR-001
Valentine,2.5,Variation2,1017.442787,BR-001
BlackFriday,1.2,Control,-1058.681927,BR-001
BlackFriday,3.4,Variation1,833.8927108,BR-001
BlackFriday,3,Control,1530.009083,BR-001
Valentine,2.9,Variation1,989.9946974,BR-001
BlackFriday,1.8,Variation2,2226.936224,BR-001
Valentine,2.7,Variation2,1749.787076,BR-001
BlackFriday,4.2,Variation2,593.9619119,BR-001
BlackFriday,1.9,Control,-1004.32219,BR-001
BlackFriday,1.5,Variation1,2275.433423,BR-001
Normal,1,Variation1,567.2142583,BR-001
Valentine,3.2,Control,1013.750889,BR-001
Normal,1,Control,1608.959703,BR-001
Christmas,2.4,Control,1605.969103,BR-001
Normal,1,Control,501.8018917,BR-001
Normal,1,Control,1654.575409,BR-001
Valentine,2.8,Control,1048.030954,BR-001
Normal,1,Control,1275.91448,BR-001
Normal,1,Variation2,778.9092045,BR-001
Normal,1,Control,597.5574795,BR-001
Normal,1,Variation2,923.5808017,BR-001
BlackFriday,1.4,Variation2,1518.282515,BR-001
Christmas,2.6,Control,1448.047979,BR-001
BlackFriday,4.7,Variation2,2550.469359,BR-001
Normal,1,Variation1,1004.208295,BR-001
BlackFriday,2.8,Control,322.7761867,BR-001
Normal,1,Variation1,1304.701592,BR-001
BlackFriday,3.1,Control,1589.554672,BR-001
Normal,1,Control,1745.338865,BR-001
Christmas,1.6,Variation2,1461.459303,BR-001
Normal,1,Control,331.4430537,BR-001
Normal,1,Control,1349.280761,BR-001
Normal,1,Control,718.1588091,BR-001
Christmas,2.8,Variation2,1280.907545,BR-001
BlackFriday,3.3,Variation1,1604.743425,BR-001
BlackFriday,2.2,Control,1200.689367,BR-001
BlackFriday,1.8,Control,1066.541006,BR-001
Christmas,2.2,Control,849.1999358,BR-001
BlackFriday,4.3,Control,1059.680097,BR-001
BlackFriday,3.6,Control,1493.196694,BR-001
Valentine,1.9,Variation1,893.3616396,BR-001
Valentine,3.3,Variation2,1405.750512,BR-001
Valentine,3,Variation1,1490.411621,BR-001
Christmas,3.8,Variation2,967.4500927,BR-001
BlackFriday,2.6,Control,619.5767443,BR-001
BlackFriday,3.8,Control,2451.529989,BR-001
Normal,1,Control,1807.317497,BR-001
Valentine,2.1,Control,2211.006135,BR-001
BlackFriday,4.9,Variation2,1761.539781,BR-001
Christmas,1.7,Variation1,1480.764728,BR-001
Christmas,4.4,Control,24.42987397,BR-001
Valentine,2,Control,928.0507689,BR-001
Normal,1,Variation2,1287.071813,BR-001
Valentine,2.5,Control,1026.45526,BR-001
BlackFriday,1.4,Variation2,947.6765013,BR-001
Valentine,4.4,Variation1,1413.053743,BR-001
Normal,1,Control,1234.978019,BR-001
Valentine,3.3,Control,1530.279902,BR-001
Valentine,4.4,Control,958.7858349,BR-001
Christmas,4.7,Control,2505.668085,BR-001
Christmas,3.1,Control,995.612872,BR-001
BlackFriday,2.1,Variation2,1331.657485,BR-001
Normal,1,Variation1,1140.065353,BR-001
Normal,1,Control,796.6390152,BR-001
BlackFriday,3,Control,1695.429267,BR-001
Christmas,2.3,Control,957.2165811,BR-001
Christmas,2.5,Variation2,828.9443506,BR-001
Normal,1,Control,1403.995341,BR-001
Normal,1,Control,1210.841522,BR-001
Normal,1,Control,2612.259678,BR-001
BlackFriday,4.7,Control,1427.365662,BR-001
Normal,1,Control,1862.045158,BR-001
BlackFriday,1.9,Variation2,2278.818962,BR-001
BlackFriday,1.2,Control,451.33293,BR-001
Christmas,2.8,Variation1,424.5036601,BR-001
Valentine,4,Control,1899.908526,BR-001
Christmas,3.7,Control,1120.423066,BR-001
Normal,1,Variation2,408.3343801,BR-001
Valentine,2.1,Control,1552.027626,BR-001
BlackFriday,4.4,Control,1247.111973,BR-001
Christmas,2.8,Variation2,1470.484617,BR-001
Normal,1,Control,241.605279,BR-001
BlackFriday,4.2,Control,1602.057966,BR-001
Valentine,3.2,Control,1978.9993,BR-001
Christmas,2.3,Variation1,337.166539,BR-001
Normal,1,Control,450.8742448,BR-001
BlackFriday,4.7,Control,1480.696558,BR-001
Normal,1,Variation2,1190.045674,BR-001
BlackFriday,2,Control,626.551268,BR-001
Valentine,4.3,Variation2,1289.348504,BR-001
Valentine,3.6,Control,-1409.547043,BR-001
BlackFriday,2.4,Variation1,176.1156164,BR-001
Normal,1,Variation2,1610.743863,BR-001
Normal,1,Variation2,1710.541929,BR-001
Normal,1,Variation2,758.7046924,BR-001
Valentine,2.1,Control,429.4525288,BR-001
Valentine,3.4,Control,1125.283836,BR-001
Normal,1,Control,1032.839592,BR-001
Normal,1,Control,1292.901961,BR-001
Valentine,2,Control,988.7801851,BR-001
BlackFriday,4.3,Variation2,648.7839695,BR-001
Christmas,4.9,Control,1536.410803,BR-001
BlackFriday,2.3,Control,1038.567404,BR-001
Christmas,4.3,Control,1593.795547,BR-001
Normal,1,Control,845.9391024,BR-001
BlackFriday,1.4,Variation1,1227.502031,BR-001
Christmas,4.8,Control,715.0663135,BR-001
Normal,1,Control,2159.484404,BR-001
Christmas,4.5,Control,1370.530321,BR-001
Valentine,4.6,Variation1,631.3109836,BR-001
BlackFriday,4.7,Variation2,1228.581546,BR-001
Normal,1,Control,879.5635803,BR-001
Normal,1,Variation1,1630.285578,BR-001
Valentine,4.8,Control,1989.283008,BR-001
BlackFriday,1.8,Control,1073.558637,BR-001
BlackFriday,4.4,Variation2,491.6607606,BR-001
Normal,1,Variation2,1642.052838,BR-001
BlackFriday,3.2,Variation1,2432.763042,BR-001
Valentine,4.2,Variation2,289.193233,BR-001
BlackFriday,1.2,Control,1231.261961,BR-001
BlackFriday,4.8,Control,1340.945973,BR-001
Valentine,2.4,Control,1034.018293,BR-001
Valentine,2.1,Control,1915.724452,BR-001
Valentine,1.8,Control,-324.6744211,BR-001
BlackFriday,3.5,Control,2244.969985,BR-001
Christmas,3.6,Control,1445.414846,BR-001
Valentine,1.5,Control,1172.243784,BR-001
Christmas,1.6,Control,302.1156722,BR-001
Christmas,1.3,Control,1340.411704,BR-001
BlackFriday,1.6,Variation2,1646.848574,BR-001
Valentine,1.5,Control,2156.079866,BR-001
BlackFriday,1.6,Control,1486.990481,BR-001
BlackFriday,3.1,Control,1893.504149,BR-001
BlackFriday,3.3,Control,1604.400847,BR-001
Normal,1,Control,1042.185996,BR-001
BlackFriday,4.5,Control,43.21463098,BR-001
BlackFriday,1.3,Variation2,591.9304876,BR-001
Valentine,1.9,Variation2,-903.1198357,BR-001
Normal,1,Variation2,897.66365,BR-001
Christmas,2.9,Control,1338.16837,BR-001
Normal,1,Control,829.5520401,BR-001
Christmas,2.6,Control,1183.318382,BR-001
BlackFriday,4.6,Variation2,1144.822282,BR-001
Valentine,3,Variation1,1519.176026,BR-001
BlackFriday,4.7,Control,887.2261192,BR-001
Normal,1,Variation1,1087.679483,BR-001
Christmas,1.6,Control,1429.621604,BR-001
Christmas,4.6,Control,375.1159839,BR-001
Normal,1,Control,492.9677099,BR-001
BlackFriday,1.1,Control,1408.264042,BR-001
BlackFriday,1.8,Control,1175.108043,BR-001
Valentine,4.1,Control,2321.140276,BR-001
Christmas,2.3,Variation1,427.8022799,BR-001
BlackFriday,3.5,Control,-918.497625,BR-001
Christmas,5,Control,1069.930951,BR-001
Valentine,3.9,Control,2528.663722,BR-001
Normal,1,Control,1918.808407,BR-001
Normal,1,Control,816.3573074,BR-001
Christmas,2.8,Control,2292.251857,BR-001
Christmas,1.6,Variation1,1383.799544,BR-001
Valentine,2.9,Control,1122.089918,BR-001
Valentine,4.7,Control,1298.638735,BR-001
Christmas,3.3,Control,2085.238731,BR-001
Normal,1,Variation1,873.8371989,BR-001
Christmas,1.6,Variation1,215.3688787,BR-001
Valentine,1.1,Variation2,1228.800209,BR-001
Normal,1,Variation1,1270.035453,BR-001
Christmas,2.7,Variation2,1253.487652,BR-001
Normal,1,Control,659.9521696,BR-001
Christmas,4.1,Variation2,114.275509,BR-001
Valentine,2.1,Control,1360.528976,BR-001
Normal,1,Control,1652.540984,BR-001
Normal,1,Control,1789.840181,BR-001
Normal,1,Control,110.1720061,BR-001
Normal,1,Control,1423.695326,BR-001
BlackFriday,1.7,Control,292.9618802,BR-001
BlackFriday,2.9,Control,1291.138175,BR-001
Normal,1,Control,1077.731861,BR-001
Normal,1,Control,826.7711822,BR-001
Christmas,3.5,Control,1573.138065,BR-001
Christmas,3.2,Control,2149.518763,BR-001
BlackFriday,2.1,Control,1484.948579,BR-001
Valentine,1.6,Variation1,1252.709712,BR-001
Christmas,4.8,Control,1935.77094,BR-001
Christmas,2.5,Control,851.8038113,BR-001
Valentine,1.5,Control,1158.901326,BR-001
BlackFriday,2.7,Variation1,1147.408926,BR-001
Christmas,1.3,Control,1913.719423,BR-001
Valentine,1.6,Control,1312.214781,BR-001
Christmas,4.3,Control,1372.816112,BR-001
Normal,1,Variation2,1497.157826,BR-001
BlackFriday,2.6,Control,218.3821214,BR-001
Christmas,1.1,Variation1,1291.279978,BR-001
Christmas,1.4,Variation1,1166.290976,BR-001
Christmas,3.3,Control,913.9523176,BR-001
Valentine,1.3,Control,835.5642136,BR-001
Normal,1,Control,1576.545411,BR-001
BlackFriday,2.9,Control,1444.172788,BR-001
BlackFriday,3.9,Control,2745.633624,BR-001
Christmas,3.2,Control,1552.897472,BR-001
Normal,1,Control,1134.674017,BR-001
BlackFriday,1.9,Variation2,1308.720993,BR-001
Valentine,2.1,Variation1,1044.688108,BR-001
BlackFriday,2.4,Variation1,500.5499764,BR-001
BlackFriday,2.1,Variation1,1822.141672,BR-001
Valentine,1.9,Variation2,1003.105939,BR-001
Christmas,1.6,Variation2,834.6810449,BR-001
Normal,1,Variation1,891.5022627,BR-001
BlackFriday,1.2,Variation2,23.52193183,BR-001
Christmas,4.4,Control,1062.29967,BR-001
Normal,1,Variation2,1450.08688,BR-001
BlackFriday,3.9,Variation2,-1099.924879,BR-001
BlackFriday,5,Variation1,1447.504097,BR-001
Normal,1,Variation2,1183.626428,BR-001
Valentine,2.2,Variation2,1503.450426,BR-001
BlackFriday,4.8,Variation1,433.7341407,BR-001
Normal,1,Control,354.2111434,BR-001
Valentine,3.1,Variation2,398.8571562,BR-001
Christmas,1.3,Variation1,1175.185359,BR-001
Normal,1,Variation2,972.9537929,BR-001
Normal,1,Control,899.833618,BR-001
Valentine,2,Variation1,955.5456,BR-001
Christmas,3.6,Variation2,1110.322674,BR-001
BlackFriday,3.4,Control,25.31008326,BR-001
Normal,1,Control,131.7031373,BR-001
Christmas,4.1,Variation1,1790.626877,BR-001
Normal,1,Variation1,580.7308911,BR-001
BlackFriday,2.8,Variation2,2132.683568,BR-001
Christmas,3.1,Control,917.6455029,BR-001
Normal,1,Variation2,1530.178089,BR-001
BlackFriday,2.5,Variation1,849.9604922,BR-001
BlackFriday,3.5,Control,2395.287973,BR-001
BlackFriday,3.1,Control,1437.384983,BR-001
Normal,1,Control,284.9710345,BR-001
Normal,1,Control,899.2890168,BR-001
Normal,1,Control,1189.047946,BR-001
Valentine,4,Variation1,2157.037761,BR-001
Christmas,3.8,Control,1553.708483,BR-001
Normal,1,Control,1047.459192,BR-001
Normal,1,Variation2,1763.936457,BR-001
BlackFriday,4.7,Control,2060.570151,BR-001
Normal,1,Variation1,745.1874128,BR-001
Normal,1,Control,355.6411668,BR-001
Valentine,1.6,Control,1544.116005,BR-001
Normal,1,Control,1105.674464,BR-001
Christmas,3.9,Control,1433.57871,BR-001
Normal,1,Variation2,1073.046592,BR-001
BlackFriday,1.1,Control,-1241.144789,BR-001
Valentine,3.4,Control,1597.420779,BR-001
Normal,1,Variation1,2297.712591,BR-001
Normal,1,Control,1642.30753,BR-001
Normal,1,Variation1,875.9957068,BR-001
Normal,1,Control,1965.914791,BR-001
Normal,1,Control,741.7604566,BR-001
Valentine,1.5,Control,1030.881434,BR-001
Normal,1,Variation1,1586.332377,BR-001
BlackFriday,2.3,Variation1,1594.933212,BR-001
BlackFriday,3.8,Control,858.9813034,BR-001
BlackFriday,3.2,Variation2,634.3540549,BR-001
Christmas,2.5,Variation1,1447.063508,BR-001
Christmas,1.5,Control,1270.451871,BR-001
Valentine,4.1,Control,1604.154847,BR-001
Normal,1,Control,1689.588168,BR-001
BlackFriday,1.9,Variation2,200.1711694,BR-001
Christmas,4.2,Control,223.6818671,BR-001
Valentine,1.3,Control,-1766.93957,BR-001
Valentine,2.4,Control,2148.743849,BR-001
BlackFriday,2.1,Control,448.1971039,BR-001
Christmas,3.3,Control,1079.014126,BR-001
Valentine,4.9,Control,-1742.581035,BR-001
BlackFriday,2.4,Control,1063.893022,BR-001
BlackFriday,3.5,Control,1153.828941,BR-001
Valentine,3.2,Variation1,223.062547,BR-001
Normal,1,Control,1141.768035,BR-001
Christmas,4.1,Control,1948.897025,BR-001
Valentine,1.4,Control,1317.537462,BR-001
Normal,1,Control,1905.65079,BR-001
Christmas,4.1,Control,313.3975843,BR-001
Normal,1,Control,825.263601,BR-001
Valentine,2.9,Control,1414.103536,BR-001
Valentine,4.9,Variation1,37.56345732,BR-001
Normal,1,Control,313.6299342,BR-001
Valentine,3.4,Variation2,818.2020324,BR-001
BlackFriday,3.2,Variation1,1319.427682,BR-001
BlackFriday,5,Variation2,403.4382688,BR-001
Valentine,3.8,Variation2,64.96007636,BR-001
Valentine,3,Variation1,463.0301927,BR-001
Valentine,1.9,Variation1,1904.223393,BR-001
BlackFriday,4.3,Variation2,1288.863203,BR-001
Christmas,4.1,Control,1005.965744,BR-001
Normal,1,Control,523.2138401,BR-001
BlackFriday,4.2,Control,774.1888253,BR-001
Valentine,2.2,Variation1,1198.016829,BR-001
Valentine,3.7,Control,288.0008486,BR-001
BlackFriday,1.5,Control,1432.677412,BR-001
Valentine,2.8,Control,372.0572563,BR-001
BlackFriday,3.2,Variation2,2097.481605,BR-001
Christmas,4.8,Variation1,218.6960274,BR-001
Normal,1,Control,1829.776447,BR-001
Normal,1,Variation1,526.1081221,BR-001
Normal,1,Control,935.4778697,BR-001
BlackFriday,1,Control,1105.334109,BR-001
Christmas,2.3,Variation2,1298.120033,BR-001
Normal,1,Control,1227.53332,BR-001
BlackFriday,4.2,Variation2,2081.133083,BR-001
Valentine,1,Variation1,1719.832509,BR-001
Valentine,4.3,Control,51.34314703,BR-001
Valentine,1.7,Control,1414.975677,BR-001
Normal,1,Control,520.2485349,BR-001
Christmas,3.5,Control,1526.70986,BR-001
Normal,1,Control,2090.519838,BR-001
Normal,1,Control,935.055166,BR-001
Normal,1,Variation1,359.4211022,BR-001
Normal,1,Variation1,934.6421348,BR-001
Valentine,1.6,Control,1206.628099,BR-001
Valentine,4.7,Variation1,2066.165666,BR-001
BlackFriday,3.3,Variation2,1000.71334,BR-001
Christmas,1.2,Variation2,823.5598862,BR-001
Valentine,4.8,Control,-586.0820368,BR-001
Valentine,2.7,Variation1,1162.924689,BR-001
BlackFriday,3.9,Variation1,1338.246765,BR-001
Normal,1,Control,1706.476193,BR-001
Christmas,5,Control,1125.853614,BR-001
BlackFriday,1,Variation1,1277.31311,BR-001
Christmas,1,Control,1780.17786,BR-001
Christmas,2.5,Variation2,297.9422085,BR-001
Normal,1,Control,1136.575175,BR-001
BlackFriday,2,Control,381.3394252,BR-001
BlackFriday,4.8,Variation1,1979.494358,BR-001
BlackFriday,4.3,Control,998.7825013,BR-001
Christmas,1.7,Variation1,836.2801144,BR-001
Christmas,2.1,Control,1154.285894,BR-001
BlackFriday,1.4,Control,958.1575694,BR-001
Christmas,1.3,Control,529.2129698,BR-001
Christmas,3.5,Control,1499.454006,BR-001
Christmas,1.2,Variation1,385.4167052,BR-001
Christmas,4.8,Control,1178.503412,BR-001
Valentine,2.9,Control,952.3447689,BR-001
Normal,1,Control,693.0660665,BR-001
Christmas,4.7,Control,1372.107605,BR-001
Christmas,4.1,Control,1185.191523,BR-001
BlackFriday,3.2,Control,2598.996124,BR-001
BlackFriday,3.7,Control,2194.951453,BR-001
Christmas,1.5,Control,2333.352127,BR-001
Christmas,2.6,Variation1,878.1628549,BR-001
Normal,1,Control,1468.282975,BR-001
Normal,1,Variation2,757.2376989,BR-001
BlackFriday,1,Variation1,596.2423467,BR-001
